"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5879","tryChangeUsernameWithIncorrectDataTest(String) [2] Имя","","Sun May 31 14:05:48 UTC 2026","passed","Sun May 31 14:05:53 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","15397","transferMoreMoneyThenIsInBalanceNegativeTests(double) [1] 5001.0","","Sun May 31 14:06:07 UTC 2026","passed","Sun May 31 14:06:23 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoreMoneyThenIsInBalanceNegativeTests"
"","1826","depositMoneyByAdminNegativeTest()","","Sun May 31 14:05:54 UTC 2026","passed","Sun May 31 14:05:55 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyByAdminNegativeTest"
"","24742","transferMoneyMoreThenPossibleTests(double) [2] 10000.01","","Sun May 31 14:05:51 UTC 2026","passed","Sun May 31 14:06:16 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyMoreThenPossibleTests"
"","10279","depositMoneyFromSomeoneElseAccountNegativeTest()","","Sun May 31 14:05:56 UTC 2026","passed","Sun May 31 14:06:06 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyFromSomeoneElseAccountNegativeTest"
"","12846","depositMoneyByUserTest(double) [1] 4999.99","","Sun May 31 14:06:17 UTC 2026","passed","Sun May 31 14:06:30 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyByUserTest"
"","5247","depositMoneyOnNonExistentAccountNegativeTest()","","Sun May 31 14:06:06 UTC 2026","passed","Sun May 31 14:06:11 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyOnNonExistentAccountNegativeTest"
"","5502","tryChangeUsernameWithIncorrectDataTest(String) [3] имя.","","Sun May 31 14:05:54 UTC 2026","passed","Sun May 31 14:05:59 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","14369","transferMoneyByAdminNegativeTest()","","Sun May 31 14:06:23 UTC 2026","passed","Sun May 31 14:06:37 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyByAdminNegativeTest"
"","31414","transferMoreMoneyThenIsInBalanceNegativeTests(double) [3] -1000.0","","Sun May 31 14:05:19 UTC 2026","passed","Sun May 31 14:05:51 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoreMoneyThenIsInBalanceNegativeTests"
"","32321","testTransferWithFraudCheck()","","Sun May 31 14:05:19 UTC 2026","passed","Sun May 31 14:05:52 UTC 2026","","api.TransferWithFraudCheckTests","api.TransferWithFraudCheckTests","testTransferWithFraudCheck"
"","7030","tryChangeUsernameWithIncorrectDataTest(String) [1] ","","Sun May 31 14:05:59 UTC 2026","passed","Sun May 31 14:06:06 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","19338","depositMoneyMoreBalanceNegativeTest(double) [1] 5000.01","","Sun May 31 14:05:19 UTC 2026","passed","Sun May 31 14:05:39 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyMoreBalanceNegativeTest"
"","12209","depositMoneyByUserTest(double) [3] 0.01","","Sun May 31 14:06:05 UTC 2026","passed","Sun May 31 14:06:17 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyByUserTest"
"","5104","depositMoneyMoreBalanceNegativeTest(double) [2] 5001.0","","Sun May 31 14:05:39 UTC 2026","passed","Sun May 31 14:05:44 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyMoreBalanceNegativeTest"
"","7662","tryChangeUsernameWithIncorrectDataTest(String) [5] full_name","","Sun May 31 14:05:40 UTC 2026","passed","Sun May 31 14:05:48 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","22571","transferMoneyToOtherAccountTests(double) [2] 0.01","","Sun May 31 14:06:18 UTC 2026","passed","Sun May 31 14:06:41 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyToOtherAccountTests"
"","3931","tryChangeUsernameWithAdminTokenNegativeTest()","","Sun May 31 14:06:06 UTC 2026","passed","Sun May 31 14:06:10 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithAdminTokenNegativeTest"
"","10319","transferMoneyToOtherAccountTests(double) [4] 9999.99","","Sun May 31 14:06:37 UTC 2026","passed","Sun May 31 14:06:48 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyToOtherAccountTests"
"","5255","depositMoneyNegativeBalanceNegativeTest(double) [2] -0.01","","Sun May 31 14:05:44 UTC 2026","passed","Sun May 31 14:05:49 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyNegativeBalanceNegativeTest"
"","8896","changeUsernameSystemTest(UserNameType) [2] SEMANTICALLY_INVALID","","Sun May 31 14:06:10 UTC 2026","passed","Sun May 31 14:06:19 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","changeUsernameSystemTest"
"","20643","tryChangeUsernameWithIncorrectDataTest(String) [4] full.name","","Sun May 31 14:05:19 UTC 2026","passed","Sun May 31 14:05:40 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
