"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26042","transferMoneyToOtherAccountTests(double) [3] 10000.0","","Sun May 17 18:16:01 UTC 2026","passed","Sun May 17 18:16:27 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyToOtherAccountTests"
"","17578","transferMoneyToMyAccountTests()","","Sun May 17 18:15:28 UTC 2026","passed","Sun May 17 18:15:45 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyToMyAccountTests"
"","28230","depositMoneyByUserTest(double) [2] 5000.0","","Sun May 17 18:14:54 UTC 2026","passed","Sun May 17 18:15:23 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyByUserTest"
"","32928","transferMoreMoneyThenIsInBalanceNegativeTests(double) [2] 5000.01","","Sun May 17 18:14:54 UTC 2026","passed","Sun May 17 18:15:27 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoreMoneyThenIsInBalanceNegativeTests"
"","18478","depositMoneyMoreBalanceNegativeTest(double) [2] 5001.0","","Sun May 17 18:14:54 UTC 2026","passed","Sun May 17 18:15:13 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyMoreBalanceNegativeTest"
"","7829","tryChangeUsernameWithIncorrectDataTest(String) [1] ","","Sun May 17 18:15:37 UTC 2026","passed","Sun May 17 18:15:45 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","3829","tryChangeUsernameWithAdminTokenNegativeTest()","","Sun May 17 18:15:45 UTC 2026","passed","Sun May 17 18:15:48 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithAdminTokenNegativeTest"
"","6036","depositMoneyNegativeBalanceNegativeTest(double) [2] -0.01","","Sun May 17 18:15:26 UTC 2026","passed","Sun May 17 18:15:32 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyNegativeBalanceNegativeTest"
"","12162","changeUsernameSystemTest(UserNameType) [2] SEMANTICALLY_INVALID","","Sun May 17 18:15:49 UTC 2026","passed","Sun May 17 18:16:01 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","changeUsernameSystemTest"
"","18419","transferMoreMoneyThenIsInBalanceNegativeTests(double) [1] 5001.0","","Sun May 17 18:15:46 UTC 2026","passed","Sun May 17 18:16:04 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoreMoneyThenIsInBalanceNegativeTests"
"","18621","transferMoneyByAdminNegativeTest()","","Sun May 17 18:15:53 UTC 2026","passed","Sun May 17 18:16:12 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyByAdminNegativeTest"
"","24153","transferMoneyMoreThenPossibleTests(double) [1] 10001.0","","Sun May 17 18:16:04 UTC 2026","passed","Sun May 17 18:16:28 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyMoreThenPossibleTests"
"","11277","changeUsernameSystemTest(UserNameType) [1] VALID_LATIN","","Sun May 17 18:15:49 UTC 2026","passed","Sun May 17 18:16:01 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","changeUsernameSystemTest"
